Make finished
302 2 died
362 1 died
422 3 died
422 3 died
844 2 died
1205 2 died
1386 2 died
1627 1 died
2711 1 died
3917 2 died
4157 1 died
4278 2 died
4579 3 died
6927 3 died
8496 1 died
10301 1 died
15603 3 died
15663 2 died
30420 3 died
86004 1 died
----
181 1 died
181 3 died
301 2 died
1807 1 died
2591 3 died
2651 2 died
2652 2 died
2832 2 died
3073 1 died
3194 2 died
3917 2 died
4399 3 died
4580 3 died
13135 2 died
15001 1 died
15542 1 died
22235 1 died
38250 2 died
61375 2 died
----
181 1 died
482 2 died
1265 1 died
1627 1 died
2109 2 died
3435 1 died
3555 2 died
4218 3 died
5483 3 died
6267 2 died
6327 1 died
7713 2 died
10545 3 died
13859 2 died
14279 1 died
18918 2 died
20001 2 died
27770 2 died
59572 2 died
----
181 1 died
783 3 died
904 1 died
964 3 died
1928 2 died
2410 3 died
3013 2 died
4036 3 died
4158 1 died
4219 3 died
4580 3 died
5302 3 died
7353 2 died
8375 3 died
10965 2 died
11567 1 died
22289 3 died
35300 3 died
51255 2 died
----
done
